x,u,x_dot
[[ 0.254 -0.372]],[[1.]],[[-3.14697881  3.29807867]]
[[0.218 0.118]],[[-1.]],[[ 0.99823521 -1.86755683]]
[[ 0.118 -0.402]],[[1.]],[[-3.40076743  3.02422123]]
[[-0.156 -0.192]],[[1.]],[[-1.62424713  2.10932218]]
[[ 0.314 -0.432]],[[1.]],[[-3.65455604  3.5156925 ]]
[[-0.364  0.392]],[[-0.7159087]],[[ 3.31617122 -2.9473129 ]]
[[-0.304  0.436]],[[-1.]],[[ 3.68839452 -3.49813622]]
[[ 0.368 -0.386]],[[0.66727245]],[[-3.2654135   2.84070425]]
[[ 0.248 -0.444]],[[1.]],[[-3.75607149  3.38028316]]
[[ 0.388 -0.336]],[[0.31445782]],[[-2.84243248  2.03813004]]
[[-0.392  0.282]],[[-0.00270139]],[[ 2.38561297 -1.28476002]]
[[-0.386  0.344]],[[-0.36618429]],[[ 2.91010944 -2.15881294]]
[[-0.244  0.444]],[[-1.]],[[ 3.75607149 -3.371083  ]]
[[-0.348  0.09 ]],[[0.87657092]],[[0.76136584 1.01872087]]
[[-0.152  0.254]],[[-0.7939879]],[[ 2.1487436  -2.44928471]]
[[ 0.254 -0.08 ]],[[-0.56135142]],[[-0.67676964 -0.54921628]]
[[ 0.182 -0.434]],[[1.]],[[-3.67147528  3.21485559]]
[[ 0.294 -0.282]],[[0.38848381]],[[-2.38561297  1.91555478]]
[[-0.182  0.434]],[[-1.]],[[ 3.67147528 -3.21485559]]
