State,Action,NextState
[-2.8460977 -0.613356 ],-1.9999996,[-2.90268599 -1.13176599]
[-2.90268599 -1.13176599],-2.0,[-2.98314831 -1.60924635]
[-2.98314831 -1.60924635],-2.0,[-3.08452746 -2.02758302]
[-3.08452746 -2.02758302],-1.9999999,[-3.2030454  -2.37035867]
[-3.2030454  -2.37035867],-1.9999998,[-3.3342603  -2.62429808]
[-3.3342603  -2.62429808],-1.9999993,[-3.47329478 -2.78068958]
[-3.47329478 -2.78068958],-1.9999967,[-3.61511725 -2.83644944]
[-3.61511725 -2.83644944],-1.9999822,[-3.75483862 -2.79442737]
[-3.75483862 -2.79442737],-1.9999208,[-3.88797721 -2.66277175]
[-3.88797721 -2.66277175],-1.9982393,[-4.0106405  -2.45326595]
[-4.0106405  -2.45326595],-1.970252,[-4.11944139 -2.17601779]
[-4.11944139 -2.17601779],-1.8557587,[-4.21106183 -1.83240873]
[-4.21106183 -1.83240873],-1.6238316,[-4.28197555 -1.41827433]
[-4.28197555 -1.41827433],-1.1607053,[-4.3275148  -0.91078514]
[-4.3275148  -0.91078514],0.5379057,[-4.33426305 -0.13496503]
[-4.33426305 -0.13496503],2.0,[-4.29116038  0.86205358]
[-4.29116038  0.86205358],2.0,[-4.19883567  1.84649403]
[-4.19883567  1.84649403],2.0,[-4.05884831  2.7997473 ]
[-4.05884831  2.7997473 ],2.0,[-3.87408834  3.69519934]
[-3.87408834  3.69519934],1.989028,[-3.64933339  4.49509899]
[-3.64933339  4.49509899],1.9448538,[-3.39175938  5.15148025]
[-3.39175938  5.15148025],1.9398241,[-3.11035298  5.62812799]
[-3.11035298  5.62812799],1.9711828,[-2.81533401  5.90037947]
[-2.81533401  5.90037947],1.9737647,[-2.5175306  5.9560682]
[-2.5175306  5.9560682],1.954252,[-2.22698291  5.81095371]
[-2.22698291  5.81095371],1.9782519,[-1.95131051  5.51344809]
[-1.95131051  5.51344809],1.9907856,[-1.69552498  5.11571059]
[-1.69552498  5.11571059],1.9839578,[-1.46206845  4.66913066]
[-1.46206845  4.66913066],1.9494371,[-1.25126969  4.21597502]
[-1.25126969  4.21597502],1.7736163,[-1.06277073  3.7699793 ]
[-1.06277073  3.7699793 ],1.0993719,[-0.89879047  3.27960509]
[-0.89879047  3.27960509],0.099449635,[-0.76341089  2.70759167]
[-0.76341089  2.70759167],0.24639106,[-0.65211049  2.22600801]
[-0.65211049  2.22600801],0.21918988,[-0.56192361  1.8037376 ]
[-0.56192361  1.8037376 ],0.3438325,[-0.48913855  1.45570122]
[-0.48913855  1.45570122],0.52735686,[-0.43001827  1.18240553]
[-0.43001827  1.18240553],0.8092828,[-0.38046165  0.99113239]
[-0.38046165  0.99113239],0.8819759,[-0.33821581  0.84491691]
[-0.33821581  0.84491691],0.8951154,[-0.30169927  0.73033083]
[-0.30169927  0.73033083],0.9301028,[-0.26934982  0.6469889 ]
[-0.26934982  0.6469889 ],0.93755627,[-0.23994763  0.58804377]
[-0.23994763  0.58804377],0.9705453,[-0.2121783   0.55538674]
[-0.2121783   0.55538674],0.9080181,[-0.18549594  0.53364707]
[-0.18549594  0.53364707],0.77171636,[-0.15994199  0.51107903]
[-0.15994199  0.51107903],0.38602233,[-0.13746516  0.44953668]
[-0.13746516  0.44953668],0.4860525,[-0.11648165  0.41967009]
[-0.11648165  0.41967009],0.065950155,[-0.09936171  0.34239879]
[-0.09936171  0.34239879],0.5765538,[-0.08163756  0.35448314]
[-0.08163756  0.35448314],-0.5061927,[-0.07076785  0.21739406]
[-0.07076785  0.21739406],1.0179687,[-0.05491496  0.31705776]
[-0.05491496  0.31705776],-1.2236758,[-0.05029792  0.09234085]
[-0.05029792  0.09234085],1.4015231,[-0.03705483  0.26486178]
[-0.03705483  0.26486178],-1.3490409,[-0.03531879  0.03472089]
[-0.03531879  0.03472089],1.314744,[-0.02504634  0.2054489 ]
[-0.02504634  0.2054489 ],-1.2292962,[-0.02493276  0.00227168]
[-0.02493276  0.00227168],1.1734605,[-0.0169531   0.15959312]
[-0.0169531   0.15959312],-1.0959367,[-0.01782868 -0.0175116 ]
[-0.01782868 -0.0175116 ],1.0343094,[-0.01161548  0.12426401]
[-0.01161548  0.12426401],-0.95649767,[-0.01301159 -0.02792206]
[-0.01301159 -0.02792206],0.90091896,[-0.00813872  0.09745737]
[-0.00813872  0.09745737],-0.8433802,[-0.0098964  -0.03515363]
[-0.0098964  -0.03515363],0.81371474,[-0.00592233  0.0794814 ]
[-0.00592233  0.0794814 ],-0.7654636,[-0.00791132 -0.03977986]
[-0.00791132 -0.03977986],0.75579906,[-0.00452849  0.06765657]
[-0.00452849  0.06765657],-0.7096412,[-0.00663779 -0.04218597]
[-0.00663779 -0.04218597],0.7121484,[-0.00365489  0.05965798]
[-0.00365489  0.05965798],-0.6673192,[-0.00581395 -0.04318106]
[-0.00581395 -0.04318106],0.6777122,[-0.00310818  0.05411534]
[-0.00310818  0.05411534],-0.6343136,[-0.00527632 -0.04336283]
[-0.00527632 -0.04336283],0.65012765,[-0.00276637  0.0501991 ]
[-0.00276637  0.0501991 ],-0.60825276,[-0.00492204 -0.04311359]
[-0.00492204 -0.04311359],0.62792754,[-0.00255284  0.04738402]
[-0.00255284  0.04738402],-0.587553,[-0.00468602 -0.04266356]
[-0.00468602 -0.04266356],0.6100435,[-0.0024196   0.04532847]
[-0.0024196   0.04532847],-0.571059,[-0.00452685 -0.04214508]
[-0.00452685 -0.04214508],0.5956409,[-0.00233656  0.04380593]
[-0.00233656  0.04380593],-0.5578909,[-0.00441806 -0.04163012]
[-0.00441806 -0.04163012],0.58401823,[-0.00228511  0.04265908]
[-0.00228511  0.04265908],-0.5474391,[-0.00434364 -0.04117062]
[-0.00434364 -0.04117062],0.57479644,[-0.00225408  0.04179113]
[-0.00225408  0.04179113],-0.5391259,[-0.0042925  -0.04076832]
[-0.0042925  -0.04076832],0.56749964,[-0.00223563  0.04113726]
[-0.00223563  0.04113726],-0.5325651,[-0.00425685 -0.04042423]
[-0.00425685 -0.04042423],0.56170607,[-0.00222489  0.04063906]
[-0.00222489  0.04063906],-0.5273663,[-0.00423162 -0.04013455]
[-0.00423162 -0.04013455],0.55709434,[-0.00221883  0.04025589]
[2.60685984 0.17575062],2.0,[2.64975779 0.857959  ]
[2.64975779 0.857959  ],2.0,[2.72536489 1.51214204]
[2.72536489 1.51214204],2.0,[2.83113374 2.11537692]
[2.83113374 2.11537692],2.0,[2.96335867 2.64449865]
[2.96335867 2.64449865],2.0,[3.11723205 3.07746751]
[3.11723205 3.07746751],2.0,[3.28701885 3.39573615]
[3.28701885 3.39573615],1.9999979,[3.46637137 3.58705022]
[3.46637137 3.58705022],1.9999361,[3.64875718 3.64771633]
[3.64875718 3.64771633],1.9995883,[3.82792614 3.58337909]
[3.82792614 3.58337909],1.9960885,[3.99830181 3.40751352]
[3.99830181 3.40751352],1.9880795,[4.15524966 3.13895691]
[4.15524966 3.13895691],1.9306822,[4.2948487  2.79198084]
[4.2948487  2.79198084],1.5844445,[4.41205273 2.34408065]
[4.41205273 2.34408065],1.3429499,[4.5035075  1.82909533]
[4.5035075  1.82909533],1.4416733,[4.56908993 1.31164872]
[4.56908993 1.31164872],1.4370306,[4.60833447 0.78489062]
[4.60833447 0.78489062],1.3931601,[4.62073053 0.24792122]
[4.62073053 0.24792122],1.483717,[ 4.60691188 -0.27637296]
[ 4.60691188 -0.27637296],0.90986943,[ 4.56262566 -0.88572438]
[ 4.56262566 -0.88572438],-1.47156,[ 4.4702225  -1.84806319]
[ 4.4702225  -1.84806319],-1.8884057,[ 4.32725052 -2.85943958]
[ 4.32725052 -2.85943958],-1.3443828,[ 4.13944268 -3.75615682]
[ 4.13944268 -3.75615682],-0.7036549,[ 3.9148459 -4.4919356]
[ 3.9148459 -4.4919356],-0.9815278,[ 3.65669514 -5.16301509]
[ 3.65669514 -5.16301509],-1.2190175,[ 3.37092836 -5.71533575]
[ 3.37092836 -5.71533575],-1.6104802,[ 3.06455807 -6.12740578]
