State,Action,NextState
[ 2.03002213 -5.23241649],-1.9999775,[ 1.78701633 -4.86011616]
[ 1.78701633 -4.86011616],-1.9997715,[ 1.56563906 -4.42754534]
[ 1.56563906 -4.42754534],-1.9986507,[ 1.36677141 -3.97735292]
[ 1.36677141 -3.97735292],-1.9951742,[ 1.18966217 -3.54218478]
[ 1.18966217 -3.54218478],-1.9944437,[ 1.03240373 -3.14516881]
[ 1.03240373 -3.14516881],-1.9967188,[ 0.89236493 -2.80077613]
[ 0.89236493 -2.80077613],-1.9976714,[ 0.76653951 -2.51650827]
[ 0.76653951 -2.51650827],-1.9960638,[ 0.65175537 -2.29568277]
[ 0.65175537 -2.29568277],-1.9817024,[ 0.54485533 -2.13800097]
[ 0.54485533 -2.13800097],-1.8803283,[ 0.44328885 -2.03132943]
[ 0.44328885 -2.03132943],-0.8788676,[ 0.3512151  -1.84147501]
[ 0.3512151  -1.84147501],0.6890302,[ 0.27721054 -1.48009125]
[ 0.27721054 -1.48009125],0.23791432,[ 0.2152531  -1.23914878]
[ 0.2152531  -1.23914878],0.22257233,[ 0.16297476 -1.04556691]
[ 0.16297476 -1.04556691],0.2925744,[ 0.11897525 -0.87999006]
[ 0.11897525 -0.87999006],0.37193894,[ 0.08221635 -0.73517814]
[ 0.08221635 -0.73517814],0.43617964,[ 0.05180843 -0.60815838]
[ 0.05180843 -0.60815838],0.44245982,[ 0.0266609  -0.50295047]
[ 0.0266609  -0.50295047],0.47006226,[ 0.00603851 -0.41244782]
[ 0.00603851 -0.41244782],0.48537302,[-0.01071714 -0.33511301]
[-0.01071714 -0.33511301],0.4977262,[-0.02414173 -0.26849178]
[-0.02414173 -0.26849178],0.51878405,[-0.03458066 -0.20877871]
[-0.03458066 -0.20877871],0.53197575,[-0.04232629 -0.15491267]
[-0.04232629 -0.15491267],0.5441816,[-0.04757733 -0.10502068]
[-0.04757733 -0.10502068],0.5461917,[-0.0505154  -0.05876146]
[0.37011753 0.52524436],-1.9999999,[0.39494443 0.49653813]
[0.39494443 0.49653813],-1.9999999,[0.41919972 0.48510582]
[0.41919972 0.48510582],-2.0,[0.44371862 0.49037802]
[0.44371862 0.49037802],-2.0,[0.46933631 0.51235373]
[0.46933631 0.51235373],-2.0,[0.49691504 0.55157457]
[0.49691504 0.55157457],-2.0,[0.52737062 0.60911154]
[0.52737062 0.60911154],-2.0,[0.56169855 0.68655875]
[0.56169855 0.68655875],-2.0,[0.60099991 0.78602715]
[0.60099991 0.78602715],-2.0,[0.6465063  0.91012774]
[0.6465063  0.91012774],-2.0,[0.69960274 1.06192882]
[0.69960274 1.06192882],-2.0,[0.76184595 1.24486416]
[0.76184595 1.24486416],-2.0,[0.83497384 1.46255787]
[0.83497384 1.46255787],-2.0,[0.9208997  1.71851709]
[0.9208997  1.71851709],-1.9999999,[1.02168104 2.01562687]
[1.02168104 2.01562687],-1.9999986,[1.13944939 2.35536705]
[1.13944939 2.35536705],-1.9997724,[1.27628458 2.73670375]
[1.27628458 2.73670375],-1.7782295,[1.43566844 3.18767732]
[1.43566844 3.18767732],1.9969575,[1.64718765 4.23038403]
[1.64718765 4.23038403],1.9999993,[1.91109748 5.27819663]
[1.91109748 5.27819663],2.0,[2.22535684 6.28518727]
[2.22535684 6.28518727],2.0,[2.58436554 7.18017395]
[2.58436554 7.18017395],2.0,[2.97820554 7.87680006]
[2.97820554 7.87680006],2.0,[3.37820554 8.        ]
[3.37820554 8.        ],1.9999654,[3.77820554 8.        ]
[3.77820554 8.        ],-1.9999113,[4.14091339 7.25415688]
[4.14091339 7.25415688],-1.9999998,[4.45707984 6.32332908]
[4.45707984 6.32332908],-1.9999682,[4.72196208 5.2976449 ]
[4.72196208 5.2976449 ],-1.9875697,[4.93443928 4.24954381]
[4.93443928 4.24954381],1.0411291,[5.11814564 3.67412721]
[5.11814564 3.67412721],0.79929185,[5.27339154 3.10491799]
[5.27339154 3.10491799],1.2759657,[5.4064551  2.66127123]
[5.4064551  2.66127123],0.781692,[5.51655692 2.20203648]
[5.51655692 2.20203648],1.311614,[5.6104817  1.87849551]
[5.6104817  1.87849551],1.0905018,[5.68921888 1.57474363]
[5.68921888 1.57474363],1.6183071,[5.75910639 1.39775032]
[5.75910639 1.39775032],1.2745876,[5.81978773 1.21362665]
[5.81978773 1.21362665],1.3323135,[5.87369929 1.07823121]
[5.87369929 1.07823121],0.9494965,[5.9198019  0.92205227]
[5.9198019  0.92205227],1.0202527,[5.96022746 0.80851113]
[5.96022746 0.80851113],0.88144994,[5.9953624  0.70269896]
[5.9953624  0.70269896],0.71184444,[6.02519123 0.59657661]
[6.02519123 0.59657661],0.66554594,[6.05044385 0.50505235]
[6.05044385 0.50505235],0.64474654,[6.07188285 0.42877989]
[6.07188285 0.42877989],0.68694973,[6.09060896 0.37452217]
[6.09060896 0.37452217],0.69847393,[6.10739656 0.33575207]
[6.10739656 0.33575207],0.6695833,[6.12264786 0.30502598]
[6.12264786 0.30502598],0.6480689,[6.13676535 0.28234974]
[6.13676535 0.28234974],0.6196766,[6.15005926 0.26587822]
[6.15005926 0.26587822],0.57899046,[6.1627181  0.25317691]
[6.1627181  0.25317691],0.52983403,[6.1748441  0.24251998]
[6.1748441  0.24251998],0.44883752,[6.18628153 0.22874858]
[6.18628153 0.22874858],0.37169218,[6.19687844 0.21193826]
[6.19687844 0.21193826],0.20186543,[6.20575686 0.17756826]
[6.20575686 0.17756826],0.3810799,[6.2145927  0.17671692]
[6.2145927  0.17671692],-0.086586714,[6.22020894 0.11232479]
[6.22020894 0.11232479],0.47996497,[6.22706486 0.13711847]
[6.22706486 0.13711847],-0.035719275,[6.23154948 0.08969234]
[6.23154948 0.08969234],0.42179513,[6.23726208 0.11425195]
[6.23726208 0.11425195],-0.20768595,[6.23969552 0.04866874]
[ 3.11668312 -0.96876588],-1.9999999,[ 3.05417883 -1.25008565]
[ 3.05417883 -1.25008565],-1.9999998,[ 2.9799484  -1.48460871]
[ 2.9799484  -1.48460871],-1.9999987,[ 2.89675327 -1.66390258]
[ 2.89675327 -1.66390258],-1.9999835,[ 2.80764828 -1.78209973]
[ 2.80764828 -1.78209973],-1.9999584,[ 2.71583506 -1.83626446]
[ 2.71583506 -1.83626446],-1.9999241,[ 2.62451031 -1.82649493]
[ 2.62451031 -1.82649493],-1.9992784,[ 2.53672896 -1.75562717]
[ 2.53672896 -1.75562717],-0.6257123,[ 2.46557913 -1.42299654]
[ 2.46557913 -1.42299654],2.0,[ 2.43289261 -0.65373035]
[ 2.43289261 -0.65373035],2.0,[2.43961287 0.13440519]
[2.43961287 0.13440519],2.0,[2.48554803 0.91870318]
[2.48554803 0.91870318],2.0,[2.56935771 1.67619369]
[2.56935771 1.67619369],2.0,[2.68847411 2.38232791]
[2.68847411 2.38232791],2.0,[2.83900694 3.01065653]
[2.83900694 3.01065653],2.0,[3.01571437 3.53414862]
[3.01571437 3.53414862],2.0,[3.21212978 3.92830821]
[3.21212978 3.92830821],2.0,[3.42090224 4.17544922]
[3.42090224 4.17544922],2.0,[3.63433625 4.26868018]
[3.63433625 4.26868018],2.0,[3.84503107 4.21389653]
[3.84503107 4.21389653],2.0,[4.04646926 4.02876373]
[4.04646926 4.02876373],2.0,[4.23341936 3.73900204]
[4.23341936 3.73900204],2.0,[4.40208933 3.37339934]
[4.40208933 3.37339934],2.0,[4.55005022 2.95921775]
[4.55005022 2.95921775],2.0,[4.67600416 2.51907877]
[4.67600416 2.51907877],2.0,[4.77948291 2.06957516]
[4.77948291 2.06957516],2.0,[4.86054604 1.62126263]
[4.86054604 1.62126263],2.0,[4.91952    1.17947903]
[4.91952    1.17947903],1.9999998,[4.95679551 0.74551027]
[4.95679551 0.74551027],1.9999912,[4.97268542 0.31779812]
[4.97268542 0.31779812],1.9978476,[ 4.96732241 -0.10726004]
